session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
厦门,1,DSC_1076.NEF,8,-1,False,ok,0.9027,27.345,29.115,32.384,34.42,51.941,-27.091,-0.98,3.584,5.0,8.0,255.0,255.0,3.746,0.597,1.497,19.922,1.5,e94a4d4d5767944e,,K:\data\photo\厦门\1\DSC_1076.NEF
厦门,1,DSC_1085.NEF,1,0,False,ok,0.9562,33.896,37.938,42.098,44.189,42.098,-33.505,-5.026,1.045,24.0,34.0,153.0,244.0,0.301,1.562,0.0,18.842,1.5,4061a19118706989,,K:\data\photo\厦门\1\DSC_1085.NEF
厦门,1,DSC_1115.NEF,1,0,False,ok,0.957,28.202,29.19,32.114,34.005,32.114,-28.098,0.906,-2.245,5.0,7.0,143.0,249.0,1.586,0.487,0.002,4.988,1.5,e4a6b8acbc3c3c0c,,K:\data\photo\厦门\1\DSC_1115.NEF
厦门,1,DSC_1390.NEF,1,0,False,ok,0.9015,34.5,34.808,37.328,38.831,37.328,-34.384,1.757,2.203,11.0,15.0,154.0,253.0,0.118,0.056,0.001,55.636,1.5,fc3c65756f609400,,K:\data\photo\厦门\1\DSC_1390.NEF
厦门,1,DSC_1404.NEF,1,0,False,weak,0.8321,31.316,31.765,33.227,34.002,33.227,-31.071,-0.559,-3.869,26.0,38.0,255.0,255.0,0.0,0.0,3.778,33.969,1.5,fcfcf8fcfed4fefe,,K:\data\photo\厦门\1\DSC_1404.NEF
厦门,1,DSC_1407.NEF,1,0,False,weak,0.8196,31.286,31.841,33.137,34.089,33.137,-30.818,-1.462,-5.19,25.0,42.0,255.0,255.0,0.096,0.003,5.214,27.106,1.5,f0f0f8f0feb4fcfc,,K:\data\photo\厦门\1\DSC_1407.NEF
厦门,1,DSC_1463.NEF,1,0,False,ok,0.8901,27.157,27.59,28.674,29.468,28.674,-21.724,-9.412,-13.304,1.0,3.0,255.0,254.0,2.991,1.33,0.945,3.49,1.5,f0f0f0f0d0f0f0f0,,K:\data\photo\厦门\1\DSC_1463.NEF
厦门,1,DSC_1475.NEF,8,-1,False,ok,0.8558,33.955,34.391,35.43,36.558,39.275,-27.527,-11.084,-16.504,7.0,9.0,219.0,254.0,0.321,0.434,0.974,4.326,1.5,cece8e8c8c8c8c8c,,K:\data\photo\厦门\1\DSC_1475.NEF
厦门,1,DSC_1492.NEF,1,0,False,ok,0.9579,23.168,23.599,24.545,25.2,24.545,-20.349,-5.817,-9.426,3.0,4.0,80.0,168.0,3.814,1.687,0.186,0.621,1.5,f0f0f8f8f8f9a8f8,,K:\data\photo\厦门\1\DSC_1492.NEF
厦门,1,DSC_1514.NEF,6,1,False,ok,0.91,39.08,39.537,40.223,40.833,42.282,-31.275,-14.315,-18.552,13.0,17.0,171.17,236.0,0.248,0.259,0.611,4.621,1.5,0a0a0a0e2c0a0a0a,,K:\data\photo\厦门\1\DSC_1514.NEF
