session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
厦门,101XM_02,DSC_1942.NEF,6,1,False,ok,0.9784,3.173,7.356,11.948,14.703,40.693,1.907,-1.896,-1.686,32.0,16.0,253.0,255.0,0.002,0.171,13.112,14.491,1.5,cee6ae23230b83ce,,K:\data\photo\厦门\101XM_02\DSC_1942.NEF
厦门,101XM_02,DSC_1959.NEF,8,-1,False,ok,0.9542,5.159,8.991,22.375,25.668,36.103,-3.323,-0.298,-3.936,21.0,14.0,253.0,251.0,0.008,0.847,1.457,2.266,1.5,2c0e2e1c1b0a541d,,K:\data\photo\厦门\101XM_02\DSC_1959.NEF
厦门,101XM_02,DSC_1962.NEF,8,-1,False,ok,0.9534,4.473,8.697,21.288,24.602,35.351,-3.107,-0.38,-3.196,21.0,14.0,253.0,251.0,0.005,0.414,1.538,2.192,1.5,2f0e0f1c180b1e4d,,K:\data\photo\厦门\101XM_02\DSC_1962.NEF
厦门,101XM_02,DSC_1963.NEF,8,-1,False,ok,0.9523,4.879,9.05,21.485,24.83,35.794,-3.132,-0.257,-3.732,21.0,15.0,253.0,251.0,0.007,0.505,1.562,2.313,1.5,2e0e2e1c391a144d,,K:\data\photo\厦门\101XM_02\DSC_1963.NEF
厦门,101XM_02,DSC_1964.NEF,8,-1,False,ok,0.9566,4.9,9.251,20.746,24.136,35.589,-3.193,-0.305,-3.704,23.0,15.0,253.0,251.0,0.004,0.433,1.583,2.171,1.5,0d0f1e180b1a441d,,K:\data\photo\厦门\101XM_02\DSC_1964.NEF
厦门,101XM_02,DSC_1966.NEF,8,-1,False,ok,0.9602,4.75,8.716,20.485,24.018,35.377,-3.543,-0.609,-3.104,25.0,15.0,252.0,249.0,0.004,0.363,0.881,2.007,1.5,0c160c090f1a1c0d,,K:\data\photo\厦门\101XM_02\DSC_1966.NEF
厦门,101XM_02,DSC_1976.NEF,8,-1,False,ok,0.9672,4.106,8.461,21.194,23.995,34.585,-2.614,-0.098,-3.165,20.0,13.0,252.0,250.0,0.012,0.688,0.9,1.11,1.5,061d0d0e2e0e1e0c,,K:\data\photo\厦门\101XM_02\DSC_1976.NEF
厦门,101XM_02,DSC_1983.NEF,1,0,False,ok,0.9678,3.608,9.147,16.587,19.28,16.587,-3.061,-1.76,-0.743,15.0,10.0,229.0,244.0,0.155,0.255,0.187,0.773,1.5,9aba1cdcc76754e4,,K:\data\photo\厦门\101XM_02\DSC_1983.NEF
厦门,101XM_02,DSC_1991.NEF,1,0,False,ok,0.964,7.428,9.045,13.946,16.224,13.946,-5.518,-4.75,1.469,15.0,7.0,238.0,241.0,0.222,0.565,0.174,0.389,1.5,e0c494e6cceeca16,,K:\data\photo\厦门\101XM_02\DSC_1991.NEF
厦门,101XM_02,DSC_1995.NEF,8,-1,False,ok,0.9802,5.357,9.647,18.167,20.716,42.749,-0.561,-3.951,3.573,12.0,5.0,253.0,252.0,0.341,1.3,4.034,23.171,1.5,9898dcd89edb1cdc,,K:\data\photo\厦门\101XM_02\DSC_1995.NEF
厦门,101XM_02,DSC_2003.NEF,8,-1,False,ok,0.9789,6.279,10.959,14.618,15.719,52.376,2.176,-3.942,4.376,29.0,20.0,252.0,254.0,0.0,0.02,43.24,50.75,1.5,b0989cce9c98b478,,K:\data\photo\厦门\101XM_02\DSC_2003.NEF
厦门,101XM_02,DSC_2005.NEF,6,1,False,ok,0.9758,7.687,11.157,14.375,15.04,49.906,2.648,-4.243,5.837,21.0,12.0,241.0,245.0,0.001,0.177,49.133,65.06,1.5,e0d1e1e7c7f3e1e0,,K:\data\photo\厦门\101XM_02\DSC_2005.NEF
厦门,101XM_02,DSC_2010.NEF,6,1,False,ok,0.9792,5.871,8.861,13.589,15.699,33.062,0.011,-4.487,3.786,13.0,6.0,244.0,225.0,0.352,0.824,6.216,15.77,1.5,9d8b0a8a1b1c8ece,,K:\data\photo\厦门\101XM_02\DSC_2010.NEF
厦门,101XM_02,DSC_2012.NEF,1,0,False,ok,0.9642,9.735,11.422,14.198,14.472,14.198,-2.752,-6.268,6.921,18.0,10.0,217.0,231.0,0.083,0.207,0.132,0.263,1.5,fefe6e98901354c0,,K:\data\photo\厦门\101XM_02\DSC_2012.NEF
厦门,101XM_02,DSC_2023.NEF,1,0,False,ok,0.9832,4.386,7.177,10.511,11.251,10.511,-3.549,-2.409,-0.918,31.0,20.0,197.0,234.0,0.0,0.046,0.0,0.303,1.5,3cc474c8eeefb4e0,,K:\data\photo\厦门\101XM_02\DSC_2023.NEF
厦门,101XM_02,DSC_2029.NEF,1,0,False,ok,0.9399,3.769,6.583,11.744,11.947,11.744,1.217,-3.549,0.354,33.0,15.0,253.0,255.0,0.0,0.346,31.22,24.009,1.5,96600ff4e4b4bedc,,K:\data\photo\厦门\101XM_02\DSC_2029.NEF
厦门,101XM_02,DSC_2036.NEF,1,0,False,ok,0.9356,2.409,6.649,9.965,10.551,9.965,-1.441,-1.699,0.917,32.0,15.0,253.0,252.0,0.0,0.087,17.552,20.451,1.5,fee204c880e0c0d0,,K:\data\photo\厦门\101XM_02\DSC_2036.NEF
